,GenNorm,LogNorm,T
ACST,1.1917533751920035e-19,1.6176629811136103e-17,3.9419159000978006e-17
ACT,0.9691841411342591,0.5513374286297651,0.9948378629990692
ACTG,0.9746472335067368,0.6463394056490888,0.9673740462371317
ACU,8.666991724414492e-07,0.022076825940288924,0.040698304358984805
ACVA,0.9900866219064934,0.5648887583325642,0.8969518086120305
ACXP,0.9917720452381542,0.7188652616822644,0.9219512058067
ADAG,0.4523532890826668,0.02005073070895591,0.7222037827788998
ADAP,0.8026659614823589,0.4362818324051604,0.7229927195098175
ADBE,6.164282747984086e-10,0.006867483813187247,0.0031419749216289317
ADC,7.166275993162069e-06,0.018655719751857203,0.02482842235754279
ADCT,0.2606382442839057,0.12072817398083391,0.7129242937200206
ADD,1.7624853993526936e-21,4.881179709801103e-21,8.996857877152685e-50
ADEA,0.6339560025643329,0.16640682979041876,0.8035316553116154
ADI,0.563617901120435,0.3084925925004385,0.5643937748331465
ADIL,0.07791795142059832,0.017820259346713496,0.950457599125792
ADM,0.9437110073885141,0.9408690777358067,0.8640142546372469
ADMA,0.005548937388412112,0.00379072296674543,0.06966610132091033
ADN,2.060335418866259e-09,1.2185572904627067e-09,7.888630317765197e-10
ADNT,0.9371936095280878,0.6018722467084867,0.9341602023127799
ADP,0.669873124845966,0.165230431018087,0.6681306435295113
ADPT,0.9842059765867652,0.6481474549092584,0.9980044212000784
ADRT,1.287930211052707e-10,2.6581691169026806e-10,1.0235861030389259e-09
ADSE,0.00035679023369915124,0.09238105790835227,0.12190124035423067
ADSK,7.940335760987935e-06,0.0009634316276433408,0.0016019261055759682
ADT,0.675000608642803,0.49356408560959697,0.8164018656914881
ADTH,0.9486106384390689,0.1965226306202752,0.837091332635492
ADTN,0.7397682673867889,0.42236937845753,0.7855882486287182
ADTX,0.8545951152385968,0.04164139187815674,0.7696525394240983
ADUS,0.28089868878665125,0.0005914008788621139,0.8876613847075198
ADV,2.0603354188662727e-09,5.354633925019043e-09,1.072051020670291e-17
ADVM,0.9452624133178783,0.5832588724243597,0.9697448055975141
ADXN,9.861564836612097e-15,2.614865657153272e-13,2.626861484651762e-24
AE,1.6359996788104763e-14,2.253959064457768e-12,1.6849404779829385e-13
AEAE,5.931584224985896e-05,3.2075317815218466e-06,0.00013356723979508124
AEE,0.4501413528310675,0.04214586319611535,0.8645704672457364
AEG,0.37568501045989444,0.4444646184868368,0.3409130799658352
AEHL,4.02626545112101e-15,1.1018729262488956e-07,1.5974495323186551e-12
AEHR,0.9647572374893589,0.9078645985644888,0.8776037488272777
AEI,0.8601778791509254,0.03792809442627976,0.9208364209586644
AEIS,0.0001911524411309877,0.08466800616310499,0.04372245790594642
AEL,0.5037258470412711,0.6496470735307198,0.4579437452420335
AEM,0.0001712789796273017,0.005122241072939571,0.00497807257568772
AEMD,1.9654631089375185e-22,9.463382671714577e-24,1.533247253123792e-40
AENT,0.013826149517821351,0.007031920694684279,0.009484629165447123
AEO,0.49430079028292395,0.29922757799947486,0.4687848737114957
AEON,0.7423931273798065,0.08316476890894686,0.8247588682381243
AEP,0.00010608541416294038,6.439936256994547e-05,0.0003973069254075725
